,company,title
0,Lovehoney Group,"Data Analyst, Consumer Marketing"
1,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax)
2,hello.de,Werkstudent/ Praktikant - Business Intelligence | Reporting | Business Analysis
3,Caseking GmbH,Junior Group Performance Marketing Analyst
4,Peak Ace AG,Digital Analyst (m/w/d)
5,Peak Ace AG,Junior Digital Analyst (m/w/d)
6,Omio,Marketing Analyst (d / f / m)
7,Capgemini,Business Analyst Data & AI Life Sciences (w/m/d)
8,Bolt,"Senior Data Analyst, Business Analytics & Commercial (Delivery), Relocation to Tallinn"
9,Aeyde,Marketing Analyst (m/f/d)
10,Lovehoney Group,Business Analyst (eCommerce)
11,igefa E-Commerce GmbH & Co. KG,Business Analyst / Controller - E-Commerce (m/w/d)
12,DCI Digital Career Institute,(Junior) Marketing Analyst (all genders)
13,TUI,Referent Web Analyst (m/w/d) mit Fokus Marketing & Attribution
14,MYNE,Performance Marketing Analyst (m/w/d)
15,IKEA,Business Analyst (w/m/d) / Customer Support Center - Elternzeitvertretung befristet bis 31.10.2024
16,flaconi,Senior Marketing Analyst (all genders)
17,Workwise,Business Analyst - Low Code / Datenbanken / Schnittstellenentwicklung (m/w/d)
18,GAS German Aviation Service,BAS Berlin Aviation Service GmbH sucht Mitarbeiter in der Passagierabfertigung - Check In Agent - (m/w/d) - ---In Teilzeit (60 Stunden) oder als Minijob ----
19,Odoo,Business Analyst (m/w/d)
20,InterEx Group,D365 F&O Business Analyst (SCM)
21,ImmoScout24,(Senior) Marketing Analyst (d/f/m)
22,Contorion,Senior Marketing Analyst (m/f/d)
23,Scout24 Group,(Senior) Marketing Analyst (d/f/m)
24,MediaMarktSaturn,Business Analyst (m/w/d)
25,Deutsche Bahn,Business Analyst:in / Data Migration Manager:in SAP S/4HANA
26,Agoda,"Lead Data Analyst – Marketing Strategy & Analytics (Bangkok-based, relocation provided)"
27,Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div)
28,Moyyn,Business Analyst (m/w/d)-43_CL_27_2
29,Saxovent,Business Analyst Renewables (all genders)
30,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Rampagenten in Voll- und Teilzeit (m/w/d)
31,ImmoScout24,(Senior) Marketing Analyst (d/f/m)
32,DEVK Versicherungen,Duales Studium BWL/Versicherung B.A.
33,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Operationagents in Vollzeit (m/w/d)
34,Freiberger Lebensmittel GmbH,Business Analyst Workflow Utility for Operational Planning (m/w/d)
35,IU International University of Applied Sciences,Duales Studium BWL (B.A.) am Campus oder online
36,CBTW,Business Analyst (M/W/D)
37,Cobblestone Energy,"BUSINESS ANALYST - DUBAI, UAE"
38,Verve Group,Business Analyst (f/m/d)
39,Vonovia,Duales Studium B.A. BWL Schwerpunkt Immobilienwirtschaft BUWOG Berlin 2024
40,CBTW,Business Analyst (M/W/D)
41,CBTW,Business Analyst (M/W/D)
42,]init[ - Services for the eSociety,Business Analyst (m/w/d)
43,]init[ - Services for the eSociety,Business Analyst (m/w/d)
44,CBTW,Business Analyst (M/W/D)
45,home24 SE,Performance Marketing Manager SEA (m/w/d)
46,Engel & Völkers Commercial Berlin,Market Analyst / Research Analyst (m/w/d)
47,interim Group,Business Analyst (m/w/d) bei ProPotsdam
48,GotPhoto.com | fotograf.de,Senior Marketing Analyst (f/m/d)
49,Halian,Anforderungsmanager / Business Analyst
50,AOK Systems GmbH,Sozial­ver­si­che­rungs­fach­an­ge­stellte als Business Analyst (m/w/d) Schwerpunkt Telematik
51,powercloud GmbH,Business Analyst (gn)
52,AOK Systems GmbH,Business Analyst (m/w/d) für die EE Krankenhaus
53,Verivox GmbH,Business Analyst Value Added Services (m/w/d)
54,IU International University of Applied Sciences,Duales Studium BWL (B.A.) am Campus oder online
55,Tesla,Duales Studium B.A. International Service Management (m/w/d) - Berlin
56,DIGITALL,Dynamics 365 Business Analyst
57,publicplan GmbH,Business Analyst (m/w/d) - 100% remote
58,Vodafone,"Duales Studium B.A. BWL, mit Schwerpunkt Business Sales in Berlin (2024)"
59,Verivox GmbH,Business Analyst Insurance (m/w/d)
60,GAS German Aviation Service,BAS Berlin Aviation Service GmbH sucht Mitarbeiter in der Passagierabfertigung - Check In Agent - (m/w/d) - ---In Teilzeit (80 Stunden) oder als Minijob ----
61,IU International University of Applied Sciences,Duales Studium Gesundheitsmanagement (B.A.) am Campus oder online
62,NEW YORKER,BUSINESS ANALYST RETAIL PROCESSES*
63,50Hertz Transmission GmbH,Business Analystin Digitalisierung Netzausbau (m/w/d)
64,EY,Berater Technology Business Analysis - Technology Transformation (w/m/d)
65,Gesellschaft zur Verwertung von Leistungsschutzrechten mbH,Business Analyst (m/w/d)
66,Vodafone,"Duales Studium B.A. BWL, mit Schwerpunkt Digital Innovation in Berlin (2024)"
67,IU International University of Applied Sciences,Duales Studium E-Commerce (B.A.) am Campus oder online
68,GASAG Gruppe,Business Analyst Betriebsmanagement (w/m/d)
69,BavariaDirekt,Business Analyst (m/w/d) Sachversicherungs- & Haftpflichtschäden in Berlin
70,IU International University of Applied Sciences,Duales Studium Soziale Arbeit (B.A.) am Campus oder online
71,msg for banking ag,Business Analyst / Banking (m/w/d)
72,IU International University of Applied Sciences,Duales Studium Tourismusmanagement (B.A.) am Campus oder online
73,50Hertz Transmission GmbH,Business Architect / Business Analyst Electricity Balancing (w/m/d)
74,home24 SE,Performance Marketing Manager SEA – Deutsch (m/w/d)
75,IU International University of Applied Sciences,Duales Studium Gesundheitsmanagement (B.A.) am Campus oder online
76,Grafton Recruitment,Hungarian speaking Social Media Analyst (gn)
77,GAS German Aviation Service,BAS Berlin Aviation Service GmbH sucht Mitarbeiter für die VIP und Business Lounge Betreuung (m/w/d)
78,IU International University of Applied Sciences,Duales Studium Tourismusmanagement (B.A.) am Campus oder online
79,adesso insurance solutions GmbH,Business Analyst Datenmigration (all genders) für die adesso insurance solutions GmbH
80,Michael Page,Business Analyst (m/w/d)
81,zeb consulting,Consultant / Business Analyst (Senior) bei findic (w|m|d)
82,Interhyp Gruppe,Duales Studium Betriebswirtschaftslehre / Bank B.A. mit Fokus Vertrieb (m/w/d)
83,abl solutions GmbH,Business / Market Analyst (m/w/d)
84,JLL,Duales Studium (m/w/d) B.A. in der BWL / Immobilienwirtschaft
85,BWI GmbH,Business Analyst Schwerpunkt Military (m/w/d)
86,IU International University of Applied Sciences,Duales Studium Soziale Arbeit (B.A.) am Campus oder online
87,NTT DATA DACH,Lead / Managing Consultant Technology Innovation (w/m/x)
88,IU International University of Applied Sciences,Duales Studium Kindheitspädagogik (B.A.) am Campus oder online
89,IU International University of Applied Sciences,Duales Studium Kindheitspädagogik (B.A.) am Campus oder online
90,Amadeus FiRe,Business Analyst (m/w/d) in einem spannenden Umfeld
91,Amadeus FiRe,Business Analyst (m/w/d) im Gesundheitswesen
92,IU International University of Applied Sciences,Duales Studium Immobilienwirtschaft (B.A.) am Campus oder online
93,adesso insurance solutions GmbH,Business Analyst Requirements Engineering für Meldewesen (all genders) für die adesso insurance solutions GmbH
94,IU International University of Applied Sciences,Duales Studium Immobilienwirtschaft (B.A.) am Campus oder online
95,Grafton Recruitment,German speaking Social Media Analyst (gn)
96,KPMG Deutschland,Praktikum (w/m/d) Business Research & Analysis
97,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Follow Me Fahrer & GAT Mitarbeiter (m/w/d) in Vollzeit
98,GAS German Aviation Service GmbH,BAS Berlin Aviation Service GmbH sucht Customer Service Representatives (m/w/d) in Voll- und Teilzeit
99,IU International University of Applied Sciences,Duales Studium Mediendesign (B.A.) am Campus oder online
100,NTT DATA DACH,Senior Managing Consultant/Executive Technology Innovation (w/m/x)
101,Deloitte,Duales Studium Wirtschaftsprüfung (B.A.) 2024
102,CGI,Business Analyst/ Product Owner/Requirements Engineer (m/w/d)
103,GetYourGuide,"Senior Data Analyst, Marketing/Measurement"
104,Avea Life,Business Intelligence Data Analyst
105,JustPlay,Marketing Data Analyst (all genders)
106,Primal State Performance GmbH,Senior Data Analyst/BI Expert (all genders)
107,Kolibri Games,Game Data Analyst (f/m/d)
108,Linearity,Lead Data Analyst
109,VielfaltMenü GmbH,Data Analyst Power BI (m/w/d)
110,Robert Half,Business Data Analyst (w/m/d)
