,joblinks
0,https://de.linkedin.com/jobs/view/data-analyst-consumer-marketing-at-lovehoney-group-3805098517?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=0HP9WfRGGJ2Gf2jFzvp2RA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,https://de.linkedin.com/jobs/view/senior-data-analyst-get-a-30%25-salary-increase-pay-0%25-tax-at-puffy-3759029443?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=s1QKt3nQIF0vzZpHsx63pg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3751658783?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=MUJVUqcX0%2FcpBO91VvQU%2Fg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,https://de.linkedin.com/jobs/view/junior-group-performance-marketing-analyst-at-caseking-gmbh-3805537070?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=zFrfd%2Fg9YtT4iFLxm9dRvw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,https://de.linkedin.com/jobs/view/digital-analyst-m-w-d-at-peak-ace-ag-3809888907?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=%2BFy9m9Zdvih%2ByT6fguu%2Fzg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,https://de.linkedin.com/jobs/view/junior-digital-analyst-m-w-d-at-peak-ace-ag-3797057707?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=jshQVyekWmhnbAw6qj9TeQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,https://de.linkedin.com/jobs/view/marketing-analyst-d-f-m-at-omio-3810369660?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=Lincf0DFOpy7tc6kn0k0%2BQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=O3oLa%2BOopYwTNkWL%2B4gzNQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,https://de.linkedin.com/jobs/view/senior-data-analyst-business-analytics-commercial-delivery-relocation-to-tallinn-at-bolt-3788102693?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=EFyiZUwAlxLn4nyqDxI6Xg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,https://de.linkedin.com/jobs/view/marketing-analyst-m-f-d-at-aeyde-3804992804?refId=64EJlqDpOUPnBAcu6lCtIA%3D%3D&trackingId=Znw2P2JGw0%2BKGGPqBtDX%2Bg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
